            lon        lat         inc      D1AU     delta  launch radius  launch speed    t factor  expansion rate  B decay rate       B1AU     gamma         vsw
0    268.750092  -0.184486  342.458466  0.334071  1.191867       6.944400    495.754425 -208.972687            1.14          1.64   9.457010  1.143067  343.362885
1    271.517212   1.166418  338.930237  0.299699  1.405665       7.421566    420.861816 -267.589844            1.14          1.64   9.810654  1.780118  407.177612
2    275.161255   4.005099  329.485870  0.331483  1.375757       9.084677    277.441254 -250.167068            1.14          1.64   9.594750  2.142138  513.049011
3    259.579681   7.815922  338.790680  0.292863  1.440876       6.842890    562.437561 -275.830597            1.14          1.64   8.808102  0.913247  540.053650
4    266.548035   7.659264  338.445312  0.261997  1.053602       7.817485    412.842834 -247.934097            1.14          1.64   8.693401  2.181330  585.251160
5    269.678009   4.882067  338.637726  0.287773  1.065286       6.487201    484.349640 -227.570694            1.14          1.64   8.884872  0.736098  378.776428
6    266.765839   5.063700  338.875824  0.343048  1.050935       6.658027    478.969452 -177.783630            1.14          1.64   8.715956  0.975190  625.033447
7    275.385803   1.180682  340.753937  0.257825  1.091437       8.176172    367.143921 -297.065857            1.14          1.64  10.130324  0.781494  403.111359
8    256.136292   1.677514  341.743561  0.341091  2.051609       6.451735    610.756042 -249.370712            1.14          1.64   7.543732  1.572181  681.479858
9    271.656189   1.499723  337.518036  0.338051  1.225506       6.334391    488.087860 -186.359177            1.14          1.64   9.042434  1.854683  374.419525
10   272.314117   7.701537  332.361938  0.308535  1.041597       7.659930    405.940277 -244.828552            1.14          1.64   9.414086  1.301804  514.779114
11   273.622986   4.900630  326.204926  0.311683  1.558378       8.438012    403.117432 -289.151855            1.14          1.64   9.891613  2.155866  251.501236
12   264.487244   1.931372  345.153442  0.268756  1.177524       7.488868    481.142395 -244.842331            1.14          1.64   8.585177  0.476043  563.795166
13   276.677490   4.512476  329.370483  0.331948  1.174246       6.816958    419.739929 -228.677139            1.14          1.64  11.243613  0.514964  521.898865
14   261.393982   3.028728  342.563354  0.285594  1.570394       7.886760    501.095703 -290.557495            1.14          1.64   8.197453  1.518619  459.567932
15   277.705963   0.834252  334.378265  0.310549  1.248103       7.125148    504.304718 -275.899231            1.14          1.64  12.142127  1.822858  188.876144
16   271.131897   4.123147  333.507355  0.300595  1.491159       9.969141    265.648712 -280.038239            1.14          1.64   9.778210  2.124599  493.509186
17   269.907623   3.573203  332.845947  0.296849  1.649806       8.402775    393.796509 -286.876007            1.14          1.64   9.275361  2.636346  397.439789
18   257.328430   5.641233  343.414429  0.319532  1.340953       6.404807    616.174377 -250.156769            1.14          1.64   7.740550  0.283221  627.371948
19   265.046143   8.144182  336.575012  0.321317  1.246805       8.018803    451.739136 -245.944321            1.14          1.64   8.756705  0.502961  606.725525
20   272.617828   1.420435  340.883698  0.308904  1.030349       6.618172    444.149414 -213.090866            1.14          1.64   9.585132  0.711473  603.721130
21   266.993896   8.068766  333.812744  0.281086  1.392947       7.908130    455.903625 -278.198792            1.14          1.64   9.420870  1.625823  378.238953
22   271.775238  -4.350091  346.355194  0.316075  1.387141       8.040083    405.623291 -256.896515            1.14          1.64   9.979549  1.620432  367.796448
23   271.253387  -2.174645  341.706207  0.325203  1.485258       7.196270    438.126251 -228.882309            1.14          1.64   9.834317  0.663210  456.841248
24   264.011536   8.651823  334.000763  0.328349  1.675491       6.770497    517.964172 -263.072327            1.14          1.64   8.034273  0.434142  629.235596
